"WorkerID","Block","KeyPresses","Stimulus","Time","Trial"
"3137ONMDKG6297G7O1SKDCSCEKWGER","0","21","0","32662","19"
"3137ONMDKG6297G7O1SKDCSCEKWGER","0","18","0","20741","20"
"3137ONMDKG6297G7O1SKDCSCEKWGER","1","21","1","39286","1"
"3137ONMDKG6297G7O1SKDCSCEKWGER","1","22","1","21732","2"
"3137ONMDKG6297G7O1SKDCSCEKWGER","1","24","1","25599","3"
"3137ONMDKG6297G7O1SKDCSCEKWGER","1","19","1","18713","4"
"3137ONMDKG6297G7O1SKDCSCEKWGER","1","36","1","35969","5"
"3137ONMDKG6297G7O1SKDCSCEKWGER","1","21","1","24373","6"
"3137ONMDKG6297G7O1SKDCSCEKWGER","1","25","1","21930","7"
"3137ONMDKG6297G7O1SKDCSCEKWGER","1","13","1","31379","8"
"3137ONMDKG6297G7O1SKDCSCEKWGER","1","22","1","36618","9"
"3137ONMDKG6297G7O1SKDCSCEKWGER","1","20","1","18031","10"
"3137ONMDKG6297G7O1SKDCSCEKWGER","1","24","1","21471","11"
"3137ONMDKG6297G7O1SKDCSCEKWGER","1","10","1","13000","12"
"3137ONMDKG6297G7O1SKDCSCEKWGER","1","20","1","18259","13"
"3137ONMDKG6297G7O1SKDCSCEKWGER","1","16","1","16018","14"
"3137ONMDKG6297G7O1SKDCSCEKWGER","1","19","1","16791","15"
"3137ONMDKG6297G7O1SKDCSCEKWGER","1","17","1","17103","16"
"3137ONMDKG6297G7O1SKDCSCEKWGER","1","14","1","13483","17"
"3137ONMDKG6297G7O1SKDCSCEKWGER","1","14","1","15169","18"
"3137ONMDKG6297G7O1SKDCSCEKWGER","1","14","1","15332","19"
"3137ONMDKG6297G7O1SKDCSCEKWGER","1","18","1","14509","20"
"3137ONMDKG6297G7O1SKDCSCEKWGER","2","24","0","31436","1"
"3137ONMDKG6297G7O1SKDCSCEKWGER","2","40","0","32494","2"
"3137ONMDKG6297G7O1SKDCSCEKWGER","2","22","0","28129","3"
"3137ONMDKG6297G7O1SKDCSCEKWGER","2","29","0","19900","4"
"3137ONMDKG6297G7O1SKDCSCEKWGER","2","17","0","14988","5"
"3137ONMDKG6297G7O1SKDCSCEKWGER","2","22","0","19523","6"
"3137ONMDKG6297G7O1SKDCSCEKWGER","2","7","0","7441","7"
"3137ONMDKG6297G7O1SKDCSCEKWGER","2","26","0","22001","8"
"3137ONMDKG6297G7O1SKDCSCEKWGER","2","14","0","13618","9"
"3137ONMDKG6297G7O1SKDCSCEKWGER","2","26","0","22190","10"
"3137ONMDKG6297G7O1SKDCSCEKWGER","2","26","0","20175","11"
"3137ONMDKG6297G7O1SKDCSCEKWGER","2","18","0","14206","12"
"3137ONMDKG6297G7O1SKDCSCEKWGER","2","13","0","11652","13"
"3137ONMDKG6297G7O1SKDCSCEKWGER","2","11","0","11551","14"
"3137ONMDKG6297G7O1SKDCSCEKWGER","2","8","0","7749","15"
"3137ONMDKG6297G7O1SKDCSCEKWGER","2","11","0","11577","16"
"3137ONMDKG6297G7O1SKDCSCEKWGER","2","15","0","12708","17"
"3137ONMDKG6297G7O1SKDCSCEKWGER","2","14","0","22081","18"
"3137ONMDKG6297G7O1SKDCSCEKWGER","2","13","0","14001","19"
"3137ONMDKG6297G7O1SKDCSCEKWGER","2","20","0","15288","20"
"3137ONMDKG6297G7O1SKDCSCEKWGER","3","28","1","61375","1"
"3137ONMDKG6297G7O1SKDCSCEKWGER","3","50","1","57698","2"
"3137ONMDKG6297G7O1SKDCSCEKWGER","3","17","1","16444","3"
"3137ONMDKG6297G7O1SKDCSCEKWGER","3","18","1","14616","4"
"3137ONMDKG6297G7O1SKDCSCEKWGER","3","26","1","27655","5"
"3137ONMDKG6297G7O1SKDCSCEKWGER","3","27","1","36176","6"
"3137ONMDKG6297G7O1SKDCSCEKWGER","3","25","1","23232","7"
"3137ONMDKG6297G7O1SKDCSCEKWGER","3","23","1","22756","8"
"3137ONMDKG6297G7O1SKDCSCEKWGER","3","13","1","13178","9"
"3137ONMDKG6297G7O1SKDCSCEKWGER","3","14","1","12825","10"
"3137ONMDKG6297G7O1SKDCSCEKWGER","3","18","1","17921","11"
"3137ONMDKG6297G7O1SKDCSCEKWGER","3","25","1","24874","12"
"3137ONMDKG6297G7O1SKDCSCEKWGER","3","20","1","20441","13"
"3137ONMDKG6297G7O1SKDCSCEKWGER","3","11","1","9496","14"
"3137ONMDKG6297G7O1SKDCSCEKWGER","3","14","1","16915","15"
"3137ONMDKG6297G7O1SKDCSCEKWGER","3","33","1","40187","16"
"3137ONMDKG6297G7O1SKDCSCEKWGER","3","17","1","15719","17"
"3137ONMDKG6297G7O1SKDCSCEKWGER","3","22","1","16685","18"
"3137ONMDKG6297G7O1SKDCSCEKWGER","3","15","1","14491","19"
"3137ONMDKG6297G7O1SKDCSCEKWGER","3","13","1","13502","20"
"3137ONMDKG6297G7O1SKDCSCEKWGER","4","36","0","24780","1"
"3137ONMDKG6297G7O1SKDCSCEKWGER","4","14","0","11787","2"
"3137ONMDKG6297G7O1SKDCSCEKWGER","4","15","0","13755","3"
"3137ONMDKG6297G7O1SKDCSCEKWGER","4","25","0","16780","4"
"3137ONMDKG6297G7O1SKDCSCEKWGER","4","15","0","11819","5"
"3137ONMDKG6297G7O1SKDCSCEKWGER","4","29","0","26958","6"
"3137ONMDKG6297G7O1SKDCSCEKWGER","4","25","0","19365","7"
"3137ONMDKG6297G7O1SKDCSCEKWGER","4","29","0","44555","8"
"3137ONMDKG6297G7O1SKDCSCEKWGER","4","16","0","42024","9"
"3137ONMDKG6297G7O1SKDCSCEKWGER","4","13","0","9415","10"
"3137ONMDKG6297G7O1SKDCSCEKWGER","4","15","0","11532","11"
